10/16 18:15:00.220|EXEC_START  |
--/-- --:--:--.---|INFO        |[2]件コピーしました。
--/-- --:--:--.---|INFO        |フォルダ: (成功[1]件、失敗[0]件、仮想フォルダ[0]件)
--/-- --:--:--.---|INFO        |ファイル: (成功[1]件、失敗[0]件)
10/16 18:15:01.910|END         |
10/16 18:15:01.910|START       |NAME=S3バックアップ結果 
--/-- --:--:--.---|VARIABLE    |NAME=処理結果フラグ, VALUE=0
--/-- --:--:--.---|INFO        |処理結果フラグ(int) 入力=[0]
10/16 18:15:01.911|END         |
10/16 18:15:01.911|BRANCH_START|NAME=バックアップ結果
--/-- --:--:--.---|EVALUATION  |NAME=バックアップ失敗, RESULT=false
10/16 18:15:01.911|BRANCH_END  |
10/16 18:15:01.911|START       |NAME=S3F一覧取得 [amazon_s3_adapter/list]
10/16 18:15:02.281|END         |
10/16 18:15:02.281|START       |NAME=対象ファイル抽出 
10/16 18:15:02.284|END         |
10/16 18:15:02.284|LOOP_START  |NAME=繰り返し_ファイルDL
10/16 18:15:02.286|START       |NAME=DLファイル設定 
--/-- --:--:--.---|VARIABLE    |NAME=リモートファイルパス, VALUE=/bm-s3-datahub-if-prod/WE0502/BF_orderstatus_202410161810.csv
--/-- --:--:--.---|INFO        |リモートファイルパス(String) 入力=[/bm-s3-datahub-if-prod/WE0502/BF_orderstatus_202410161810.csv]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名のみ, VALUE=BF_orderstatus_202410161810.csv
--/-- --:--:--.---|INFO        |ファイル名のみ(String) 入力=[BF_orderstatus_202410161810.csv]
10/16 18:15:02.288|END         |
10/16 18:15:02.288|START       |NAME=S3F取得_GET [amazon_s3_adapter/get]
10/16 18:15:02.715|END         |
10/16 18:15:02.715|START       |NAME=DL結果取得 
--/-- --:--:--.---|VARIABLE    |NAME=処理結果フラグ, VALUE=0
--/-- --:--:--.---|INFO        |処理結果フラグ(int) 入力=[0]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル数, VALUE=1
--/-- --:--:--.---|INFO        |ファイル数(int) 入力=[1]
--/-- --:--:--.---|VARIABLE    |NAME=ローカルファイルパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup/BF_orderstatus_202410161810.csv
--/-- --:--:--.---|INFO        |ローカルファイルパス(String) 入力=[/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup/BF_orderstatus_202410161810.csv]
10/16 18:15:02.720|END         |
10/16 18:15:02.720|BRANCH_START|NAME=Dl結果判定
--/-- --:--:--.---|EVALUATION  |NAME=DL失敗, RESULT=false
10/16 18:15:02.720|BRANCH_END  |
10/16 18:15:02.720|LOOP_END    |COUNT=1
10/16 18:15:02.720|BRANCH_START|NAME=DL数判定
--/-- --:--:--.---|EVALUATION  |NAME=DL0件, RESULT=false
10/16 18:15:02.720|BRANCH_END  |
10/16 18:15:02.720|TRY_END     |
10/16 18:15:02.720|TRY_START   |NAME=try_データ反映処理
10/16 18:15:02.720|START       |NAME=取得ファイル一覧取得 [file_operation_adapter/list_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup]ディレクトリのファイル名一覧を取得しました。
10/16 18:15:02.723|END         |
10/16 18:15:02.723|LOOP_START  |NAME=繰り返し_取得F
10/16 18:15:02.724|START       |NAME=引数作成 
--/-- --:--:--.---|VARIABLE    |NAME=リモートファイルパス, VALUE=/bm-s3-datahub-if-prod/WE0502/BF_orderstatus_202410161810.csv
--/-- --:--:--.---|INFO        |リモートファイルパス(String) 入力=[/bm-s3-datahub-if-prod/WE0502/BF_orderstatus_202410161810.csv]
--/-- --:--:--.---|VARIABLE    |NAME=ローカルファイルパス, VALUE=/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup/BF_orderstatus_202410161810.csv
--/-- --:--:--.---|INFO        |ローカルファイルパス(String) 入力=[/data/MERGE/app/data/WE0502/BACKUP/20241016181500_na0000mvvv000980e4pnrntip554_backup/BF_orderstatus_202410161810.csv]
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名のみ, VALUE=BF_orderstatus_202410161810.csv
--/-- --:--:--.---|INFO        |ファイル名のみ(String) 入力=[BF_orderstatus_202410161810.csv]
--/-- --:--:--.---|VARIABLE    |NAME=不正レコードファイルパス, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016181500_na0000mvvv000980e4pnrntip554_error/BF_orderstatus_202410161810_20241016181500_error.csv
--/-- --:--:--.---|INFO        |不正レコードファイルパス(String) 入力=[/data/MERGE/app/data/WE0502/ERROR/20241016181500_na0000mvvv000980e4pnrntip554_error/BF_orderstatus_202410161810_20241016181500_error.csv]
10/16 18:15:02.727|END         |
10/16 18:15:02.727|START       |NAME=S3入力ファイル削除 [amazon_s3_adapter/delete]
10/16 18:15:03.141|END         |
10/16 18:15:03.141|START       |NAME=データ反映処理 
10/16 18:15:03.144|SCRIPT_START|SCRIPT=sub/002_オーダー情報反映処理, PROJECT=【データ連携HUB】WE0502_オーダー情報取込(Biz-FLOW), REPOSITORY=/share/projects/【データ連携HUB】WE0502_オーダー情報取込(Biz-FLOW), VERSION=71
--/-- --:--:--.---|VARIABLE    |NAME=ファイル名のみ, VALUE=BF_orderstatus_202410161810.csv
--/-- --:--:--.---|VARIABLE    |NAME=実行日時, VALUE=1729070100276
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0502
--/-- --:--:--.---|VARIABLE    |NAME=機能名, VALUE=オーダー情報取込(Biz-FLOW)
--/-- --:--:--.---|VARIABLE    |NAME=取込ファイル取得元, VALUE=/bm-s3-datahub-if-prod/WE0502/BF_orderstatus_202410161810.csv
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリ, VALUE=/data/MERGE/app/temp/20241016181500_na0000mvvv000980e4pnrntip554_WE0502
--/-- --:--:--.---|VARIABLE    |NAME=不正レコードファイルパス, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016181500_na0000mvvv000980e4pnrntip554_error/BF_orderstatus_202410161810_20241016181500_error.csv
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリ, VALUE=/data/MERGE/app/data/WE0502/ERROR/20241016181500_na0000mvvv000980e4pnrntip554_error
