10/16 23:35:00.081|EXEC_START  |
--/-- --:--:--.---|INFO        |実行ID(String) 入力=[jq0000mvvv000980e461pjhkp55e]
10/16 23:35:01.723|END         |
10/16 23:35:01.723|BRANCH_START|NAME=ログレベル判定
--/-- --:--:--.---|EVALUATION  |NAME=INFO, RESULT=true
10/16 23:35:01.723|START       |NAME=ログ出力_INFO 
10/16 23:35:01.723|END         |
10/16 23:35:01.723|BRANCH_END  |
10/16 23:35:01.723|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=異常終了, RESULT=false
--/-- --:--:--.---|EVALUATION  |NAME=警告終了, RESULT=false
10/16 23:35:01.723|BRANCH_END  |
10/16 23:35:01.723|SCRIPT_END  |EXIT_STATUS=0
10/16 23:35:01.723|END         |
10/16 23:35:01.723|START       |NAME=処理ファイル件数集計_1 
--/-- --:--:--.---|VARIABLE    |NAME=フィルター１処理ファイル件数, VALUE=1
--/-- --:--:--.---|INFO        |フィルター１処理ファイル件数(int) 入力=[1]
10/16 23:35:01.724|END         |
10/16 23:35:01.724|START       |NAME=連携処理_1 
10/16 23:35:01.733|SCRIPT_START|SCRIPT=196_PJ情報(実行PJ)/196_01_PJ情報(実行プロジェクト), PROJECT=【データ連携HUB】WE0301_実行プロジェクト作成, REPOSITORY=/home/z098330/projects/【データ連携HUB】WE0301_実行プロジェクト作成, VERSION=107
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダ, VALUE=/data/MERGE/app/temp/20241016113500_jq0000mvvv000980e461pjhkp55e_WE0301
--/-- --:--:--.---|VARIABLE    |NAME=対象ファイル名, VALUE=K01OUT01202410163
--/-- --:--:--.---|VARIABLE    |NAME=運用日付, VALUE=2024-10-16T23:35:00.126+0900
--/-- --:--:--.---|VARIABLE    |NAME=格納先フォルダ, VALUE=/data/MERGE/app/data/WE0301/BACKUP/20241016113500_jq0000mvvv000980e461pjhkp55e_backup
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0301/ERROR/20241016113500_jq0000mvvv000980e461pjhkp55e_error
10/16 23:35:01.733|TRY_START   |NAME=try_全体
10/16 23:35:01.733|START       |NAME=エラーファイル名生成 
--/-- --:--:--.---|VARIABLE    |NAME=エラーファイル名, VALUE=K01OUT01202410163_1_ERROR.CSV
--/-- --:--:--.---|INFO        |エラーファイル名(String) 入力=[K01OUT01202410163_1_ERROR.CSV]
--/-- --:--:--.---|VARIABLE    |NAME=商談取得エラーF, VALUE=K01OUT01202410163_1_商談取得_ERROR.CSV
--/-- --:--:--.---|INFO        |商談取得エラーF(String) 入力=[K01OUT01202410163_1_商談取得_ERROR.CSV]
--/-- --:--:--.---|VARIABLE    |NAME=継続・更改元実行PJ名取得エラーF, VALUE=K01OUT01202410163_1_継続・更改元実行PJ名取得_ERROR.CSV
--/-- --:--:--.---|INFO        |継続・更改元実行PJ名取得エラーF(String) 入力=[K01OUT01202410163_1_継続・更改元実行PJ名取得_ERROR.CSV]
--/-- --:--:--.---|VARIABLE    |NAME=取引先取得エラーF, VALUE=K01OUT01202410163_1_取引先取得_ERROR.CSV
--/-- --:--:--.---|INFO        |取引先取得エラーF(String) 入力=[K01OUT01202410163_1_取引先取得_ERROR.CSV]
--/-- --:--:--.---|VARIABLE    |NAME=契約先企業名取得エラーF, VALUE=K01OUT01202410163_1_契約先企業名取得_ERROR.CSV
--/-- --:--:--.---|INFO        |契約先企業名取得エラーF(String) 入力=[K01OUT01202410163_1_契約先企業名取得_ERROR.CSV]
--/-- --:--:--.---|VARIABLE    |NAME=実行プロジェクト取得エラーF, VALUE=K01OUT01202410163_1_実行プロジェクト取得_ERROR.CSV
--/-- --:--:--.---|INFO        |実行プロジェクト取得エラーF(String) 入力=[K01OUT01202410163_1_実行プロジェクト取得_ERROR.CSV]
10/16 23:35:01.734|END         |
10/16 23:35:01.734|START       |NAME=PJ情報（実行PJ）F読込 [csv_adapter/get_data]
--/-- --:--:--.---|INFO        |[112]行のデータを抽出しました。
10/16 23:35:01.739|END         |
10/16 23:35:01.739|START       |NAME=抽出件数加算 
--/-- --:--:--.---|VARIABLE    |NAME=抽出件数, VALUE=112
--/-- --:--:--.---|INFO        |抽出件数(int) 入力=[112]
10/16 23:35:01.739|END         |
10/16 23:35:01.739|START       |NAME=ログ出力_正常 
10/16 23:35:01.739|SCRIPT_START|SCRIPT=ログ出力, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=9
--/-- --:--:--.---|VARIABLE    |NAME=param02, VALUE=K01OUT01202410163
--/-- --:--:--.---|VARIABLE    |NAME=カテゴリ, VALUE=IF
--/-- --:--:--.---|VARIABLE    |NAME=param01, VALUE=2024-10-16T23:35:00.126+0900
--/-- --:--:--.---|VARIABLE    |NAME=param03, VALUE=112
--/-- --:--:--.---|VARIABLE    |NAME=メッセージID, VALUE=MSG0335
10/16 23:35:01.739|START       |NAME=メッセージ取得 
--/-- --:--:--.---|VARIABLE    |NAME=ログレベル, VALUE=I
--/-- --:--:--.---|INFO        |ログレベル(String) 入力=[I]
--/-- --:--:--.---|VARIABLE    |NAME=メッセージ, VALUE=jq0000mvvv000980e461pjhkp55e 現在日時＝2024-10-16T23:35:00.126+0900、ファイル名＝K01OUT01202410163、抽出件数＝112
