10/17 05:55:00.476|EXEC_START  |
10/17 05:55:00.983|SCRIPT_END  |EXIT_STATUS=0
10/17 05:55:00.983|END         |
10/17 05:55:00.983|START       |NAME=応対情報取込 
10/17 05:55:00.984|SCRIPT_START|SCRIPT=177_サポートサービス等応対情報取込, PROJECT=【データ連携HUB】WE0203_サポートサービス等応対情報取込, REPOSITORY=/home/z098847/projects/【データ連携HUB】WE0203_サポートサービス等応対情報取込, VERSION=98
--/-- --:--:--.---|VARIABLE    |NAME=サービス名, VALUE=ギガらくWi-Fi／SO含む
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダOUT, VALUE=/
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットIN, VALUE=bm-s3-datahub-if-prod
--/-- --:--:--.---|VARIABLE    |NAME=S3フォルダIN, VALUE=/WE0203
--/-- --:--:--.---|VARIABLE    |NAME=実行ID, VALUE=
--/-- --:--:--.---|VARIABLE    |NAME=レコードＮｏ, VALUE=300
--/-- --:--:--.---|VARIABLE    |NAME=作業用ディレクトリ, VALUE=/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup
--/-- --:--:--.---|VARIABLE    |NAME=エラーディレクトリ, VALUE=/data/MERGE/app/data/WE0203300/ERROR/20241017055500_j20000mvvv000980e4tpjjs4p55o_error
--/-- --:--:--.---|VARIABLE    |NAME=機能名, VALUE=サポートサービス等応対情報取込
--/-- --:--:--.---|VARIABLE    |NAME=S3バケットOUT, VALUE=bm-s3-datahub-save-prod
--/-- --:--:--.---|VARIABLE    |NAME=一時ディレクトリ, VALUE=/data/MERGE/app/temp/20241017055500_j20000mvvv000980e4tpjjs4p55o_WE0203
--/-- --:--:--.---|VARIABLE    |NAME=取込ファイル名パターン, VALUE=034-000*
--/-- --:--:--.---|VARIABLE    |NAME=機能ID, VALUE=WE0203
--/-- --:--:--.---|VARIABLE    |NAME=レコードタイプＩＤ, VALUE=0122v000002BEILAA4
10/17 05:55:00.984|TRY_START   |NAME=try_catch
10/17 05:55:00.984|START       |NAME=実行スクリプトＮｏ設定 
--/-- --:--:--.---|VARIABLE    |NAME=スクリプトＮｏ, VALUE=300
--/-- --:--:--.---|INFO        |スクリプトＮｏ(String) 入力=[300]
10/17 05:55:00.984|END         |
10/17 05:55:00.984|START       |NAME=各種パス名設定 
--/-- --:--:--.---|VARIABLE    |NAME=S3バックアップディレクトリ, VALUE=/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup/S3Backup
--/-- --:--:--.---|INFO        |S3バックアップディレクトリ(String) 入力=[/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup/S3Backup]
--/-- --:--:--.---|VARIABLE    |NAME=契約状況コードTファイル, VALUE=/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup/code/code042.csv
--/-- --:--:--.---|INFO        |契約状況コードTファイル(String) 入力=[/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup/code/code042.csv]
10/17 05:55:00.984|END         |
10/17 05:55:00.984|START       |NAME=S3バックアップDir作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup//S3Backup]ディレクトリを作成しました。
10/17 05:55:00.986|END         |
10/17 05:55:00.986|START       |NAME=契約状況コードT用Dir作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0203300/BACKUP/20241017055500_j20000mvvv000980e4tpjjs4p55o_backup//code]ディレクトリを作成しました。
10/17 05:55:00.989|END         |
10/17 05:55:00.989|START       |NAME=各種コード管理T(042)取得 [amazon_rds_postgresql_adapter/execute_select_query]
--/-- --:--:--.---|INFO        |[各種コード管理T(042)取得(177_サポートサービス等応対情報取込@5fad755c)]PSP処理を開始しました。
10/17 05:55:00.990|END         |
10/17 05:55:00.990|START       |NAME=契約状況コードTファイル出力 [csv_adapter/put_data]
--/-- --:--:--.---|INFO        |[1]行のデータを挿入しました。
--/-- --:--:--.---|INFO        |[1]件のデータの抽出に成功しました。
10/17 05:55:00.996|END         |
--/-- --:--:--.---|INFO        |[各種コード管理T(042)取得(177_サポートサービス等応対情報取込@5fad755c)]PSP処理を終了しました。
10/17 05:55:00.997|START       |NAME=S3内ファイル取得 [amazon_s3_adapter/get]
10/17 05:55:02.126|END         |
10/17 05:55:02.126|START       |NAME=対象ファイル一覧取得 [file_operation_adapter/list_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241017055500_j20000mvvv000980e4tpjjs4p55o_WE0203]ディレクトリのファイル名一覧を取得しました。
10/17 05:55:02.128|END         |
10/17 05:55:02.128|START       |NAME=作業対象ファイル抽出 
10/17 05:55:02.131|END         |
10/17 05:55:02.131|LOOP_START  |NAME=foreach（ファイル件数）
10/17 05:55:02.132|START       |NAME=取込ファイル名設定 
--/-- --:--:--.---|VARIABLE    |NAME=取込ファイル名, VALUE=034-000_20241017.csv
--/-- --:--:--.---|INFO        |取込ファイル名(String) 入力=[034-000_20241017.csv]
--/-- --:--:--.---|VARIABLE    |NAME=エラーCSVファイル名, VALUE=034-000_20241017_ERROR.csv
--/-- --:--:--.---|INFO        |エラーCSVファイル名(String) 入力=[034-000_20241017_ERROR.csv]
10/17 05:55:02.133|END         |
10/17 05:55:02.133|START       |NAME=S3バックアップDirにコピー [file_operation_adapter/copy_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241017055500_j20000mvvv000980e4tpjjs4p55o_WE0203/034-000_20241017.csv]ファイル/ディレクトリをコピーしました。
--/-- --:--:--.---|INFO        |[1]件をコピーしました。
10/17 05:55:02.141|END         |
10/17 05:55:02.141|START       |NAME=作業用ディレクトリに移動 [file_operation_adapter/move_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241017055500_j20000mvvv000980e4tpjjs4p55o_WE0203/034-000_20241017.csv]ファイル/ディレクトリを移動しました。
--/-- --:--:--.---|INFO        |[1]件を移動しました。
10/17 05:55:02.146|END         |
10/17 05:55:02.146|START       |NAME=ファイル取込 
