10/17 05:51:00.441|EXEC_START  |
--/-- --:--:--.---|INFO        |[1]件のデータ読み取り（SOQL実行）に成功しました。
10/17 05:51:00.896|END         |
10/17 05:51:00.896|START       |NAME=レコードタイプID設定 
--/-- --:--:--.---|VARIABLE    |NAME=レコードタイプID, VALUE=0122v000002BEILAA4
--/-- --:--:--.---|INFO        |レコードタイプID(String) 入力=[0122v000002BEILAA4]
10/17 05:51:00.896|END         |
10/17 05:51:00.896|BRANCH_START|NAME=if
--/-- --:--:--.---|EVALUATION  |NAME=取得件数が1ではない場合, RESULT=false
10/17 05:51:00.896|BRANCH_END  |
10/17 05:51:00.897|SCRIPT_END  |EXIT_STATUS=0
10/17 05:51:00.897|END         |
10/17 05:51:00.897|START       |NAME=前回中間ファイル削除 [file_operation_adapter/delete_file]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0203200/BACKUP/*]ファイル/ディレクトリを削除しました。
--/-- --:--:--.---|INFO        |[1]件を削除しました。
10/17 05:51:00.902|END         |
10/17 05:51:00.902|START       |NAME=フォルダ作成 
10/17 05:51:00.902|SCRIPT_START|SCRIPT=一時フォルダ作成, PROJECT=【次期CRM先行】共通処理部品, REPOSITORY=/home/z098334/projects/【次期CRM先行】共通処理部品, VERSION=6
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0203200/BACKUP
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダ名, VALUE=20241017055100_ha0000mvvv000980e41i96psp55o_WE0203
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダ名, VALUE=20241017055100_ha0000mvvv000980e41i96psp55o_error
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0203200/ERROR
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダ名, VALUE=20241017055100_ha0000mvvv000980e41i96psp55o_backup
10/17 05:51:00.902|START       |NAME=処理フォルダ存在確認 [file_operation_adapter/check_exist_file]
10/17 05:51:00.907|END         |
10/17 05:51:00.907|BRANCH_START|NAME=if4
--/-- --:--:--.---|EVALUATION  |NAME=処理フォルダ有り, RESULT=false
10/17 05:51:00.907|BRANCH_END  |
10/17 05:51:00.907|START       |NAME=処理フォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/temp/20241017055100_ha0000mvvv000980e41i96psp55o_WE0203]ディレクトリを作成しました。
10/17 05:51:00.908|END         |
10/17 05:51:00.908|START       |NAME=バックアップフォルダ存在確認 [file_operation_adapter/check_exist_file]
10/17 05:51:00.909|END         |
10/17 05:51:00.909|BRANCH_START|NAME=if5
--/-- --:--:--.---|EVALUATION  |NAME=バックアップフォルダ無し, RESULT=true
10/17 05:51:00.909|START       |NAME=バックアップフォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup]ディレクトリを作成しました。
10/17 05:51:00.916|END         |
10/17 05:51:00.916|BRANCH_END  |
10/17 05:51:00.916|START       |NAME=エラーフォルダ存在確認 [file_operation_adapter/check_exist_file]
10/17 05:51:00.917|END         |
10/17 05:51:00.917|BRANCH_START|NAME=if6
--/-- --:--:--.---|EVALUATION  |NAME=エラーフォルダ無し, RESULT=true
10/17 05:51:00.917|START       |NAME=エラーフォルダ作成 [file_operation_adapter/make_directory]
--/-- --:--:--.---|INFO        |[/data/MERGE/app/data/WE0203200/ERROR/20241017055100_ha0000mvvv000980e41i96psp55o_error]ディレクトリを作成しました。
10/17 05:51:00.923|END         |
10/17 05:51:00.923|BRANCH_END  |
10/17 05:51:00.923|START       |NAME=変数格納1 
--/-- --:--:--.---|VARIABLE    |NAME=バックアップフォルダパス, VALUE=/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup
--/-- --:--:--.---|INFO        |バックアップフォルダパス(String) 入力=[/data/MERGE/app/data/WE0203200/BACKUP/20241017055100_ha0000mvvv000980e41i96psp55o_backup]
--/-- --:--:--.---|VARIABLE    |NAME=エラーフォルダパス, VALUE=/data/MERGE/app/data/WE0203200/ERROR/20241017055100_ha0000mvvv000980e41i96psp55o_error
--/-- --:--:--.---|INFO        |エラーフォルダパス(String) 入力=[/data/MERGE/app/data/WE0203200/ERROR/20241017055100_ha0000mvvv000980e41i96psp55o_error]
--/-- --:--:--.---|VARIABLE    |NAME=処理フォルダパス, VALUE=/data/MERGE/app/temp/20241017055100_ha0000mvvv000980e41i96psp55o_WE0203
--/-- --:--:--.---|INFO        |処理フォルダパス(String) 入力=[/data/MERGE/app/temp/20241017055100_ha0000mvvv000980e41i96psp55o_WE0203]
10/17 05:51:00.923|END         |
10/17 05:51:00.923|SCRIPT_END  |EXIT_STATUS=0
10/17 05:51:00.923|END         |
10/17 05:51:00.923|START       |NAME=応対情報取込 
